Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Wolf-Lite.PrjPcb|ReportField=ProjectFullPath~D:\YandexDisk\Разработки Altium\ВОЛК-lite\Rev-1.0\Схема Wolf-lite V1.0\Wolf-Lite1\Wolf-Lite.PrjPcb|ReportField=Title~Bill of Materials For Project [Wolf-Lite.PrjPcb] (No PCB Document Selected)|ReportField=ReportTime~22:49:01|ReportField=ReportDate~10.01.2021|ReportField=ReportDateTime~10.01.2021 22:49:01|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~369|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~Address1|ReportField=Address2~Address2|ReportField=Address3~Address3|ReportField=Address4~Address4|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~UA3REO/R7KBI|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=CurrentDate~10.01.2021|ReportField=CurrentTime~22:48:51|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\YandexDisk\Разработки Altium\ВОЛК-lite\Rev-1.0\Схема Wolf-lite V1.0\Wolf-Lite1\WL-STUKTURNAY.SchDoc|ReportField=DocumentName~WL-STUKTURNAY.SchDoc|ReportField=DocumentNumber~Wolf-Lite|ReportField=DocumentType~Схема электрическая принципиальная|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=EngineerName~|ReportField=FirstReferrence~АБВГ.123456.001|ReportField=ImagePath~|ReportField=Letter1Column~|ReportField=Letter2Column~|ReportField=Letter3Column~|ReportField=Mass~|ReportField=ModifiedDate~10.01.2021|ReportField=NormInspection~|ReportField=Organization~|ReportField=ProcessInspection~|ReportField=ProjectName~Wolf-Lite.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=Scale~1:1|ReportField=SheetNumber~1|ReportField=SheetTotal~12|ReportField=Time~|ReportField=Title~WOLF-LITE|ReportField=Title2str~|ReportField=DocumentCode~|ReportField=ListNumber~2|ReportField=ModifiedNumber~|ReportField=DataSourceFileName~Wolf-Lite.PrjPcb|ReportField=DataSourceFullPath~D:\YandexDisk\Разработки Altium\ВОЛК-lite\Rev-1.0\Схема Wolf-lite V1.0\Wolf-Lite1\Wolf-Lite.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|22p||C1, C2, C38, C43, C121, C163, C164, C165, C166, C170, C171, C181, C182|CH0805C|Capacitor|13
2|12p||C3, C4|CH0805C|Capacitor|2
3|0.1||C5, C6, C10, C11, C12, C13, C14, C17, C19, C21, C22, C24, C25, C28, C30, C32, C33, C37, C41, C49, C57, C58, C59, C61, C66, C67, C69, C76, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99, C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C120, C135, C136, C137, C138, C139, C140, C141, C142, C143, C183, C185, C186, C188, C190, C191, C192, C197, C198, C199, C200, C201, C202, C203, C204, C205|CH0805C|Capacitor|88
4|1000p||C7, C8, C196|CH0805C|Capacitor|3
5|1uF||C9, C29, C31, C53, C54, C55|CH0805C|Capacitor|6
6|15p||C15, C40, C172, C177, C179|CH0805C|Capacitor|5
7|10uF||C16, C18|CH0805C|Capacitor|2
8|10uF 10V||C20, C27, C36|TANTAL_A|TantalCap|3
9|0.01||C23, C26|CH0805C|Capacitor|2
10|1u||C34, C45, C47, C118|CH0805C|Capacitor|4
11|10n||C35|CH0805C|Capacitor|1
12|91p||C39, C42, C44, C178, C180|CH0805C|Capacitor|5
13|680p||C46, C48|CH0805C|Capacitor|2
14|470p||C50, C117, C119|CH0805C|Capacitor|3
15|1n||C51, C52|CH0805C|Capacitor|2
16|220uF||C56, C62, C63|POLIMER-E|TantalCap|3
17|10uF 10V||C60, C64, C65, C112, C113, C114, C115, C116, C124, C125, C126, C127, C128, C129, C130, C131, C132, C206|TANTAL_B|TantalCap|18
18|1uF 10V||C70, C71, C72, C73, C74, C123, C187|TANTAL_A|TantalCap|7
19|220p||C75, C146, C154, C156, C184|CH0805C|Capacitor|5
20|100p||C77|CH0805C|Capacitor|1
21|470pF||C122|CH0805C|Capacitor|1
22|10uF 16V||C134|POLIMER-D|TantalCap|1
23|150p||C144, C152, C159, C195|CH0805C|Capacitor|4
24|33p||C145, C153, C168|CH0805C|Capacitor|3
25|75p||C147, C155|CH0805C|Capacitor|2
26|200p||C148|CH0805C|Capacitor|1
27|56p||C149, C174, C176|CH0805C|Capacitor|3
28|330p||C150, C158|CH0805C|Capacitor|2
29|120p||C151|CH0805C|Capacitor|1
30|68p||C157, C193|CH0805C|Capacitor|2
31|39p||C160, C162, C167|CH0805C|Capacitor|3
32|47p||C161, C169, C173|CH0805C|Capacitor|3
33|8.2n||C175|CH0805C|Capacitor|1
34|22uF 10V||C189|TANTAL_B|TantalCap|1
35|390p||C194|CH0805C|Capacitor|1
36|W25Q16|Flash|D1|SOIC-8-1|W25Q32JVZPIQ|1
37|BAT54C||D2|SOT23_132|BAT54C|1
38|BAV-99||D3|SOT23_132|BAV-99|1
39|AD9226||DA1|28-SSOP|AD9226|1
40|AMS117-5||DA2, DA6|SOT223|AMS117|2
41|AMS117-3.3||DA3, DA4, DA5|SOT223|AMS117|3
